0.894,-0.991,-0.018,2.933,-3.697,0.427,19.05.2025,15:08:11.28
0.817,-1.032,0.086,3.192,-3.463,-0.180,19.05.2025,15:08:11.279
0.741,-1.092,0.229,3.435,-3.198,-0.651,19.05.2025,15:08:11.279
0.517,-1.134,0.429,3.622,-2.911,-1.071,19.05.2025,15:08:11.278
0.562,-1.189,0.493,3.665,-2.494,-1.529,19.05.2025,15:08:11.278
0.462,-1.178,0.580,3.702,-2.010,-1.928,19.05.2025,15:08:11.278
0.342,-1.157,0.677,3.728,-1.598,-2.310,19.05.2025,15:08:11.277
0.229,-1.131,0.753,3.794,-1.122,-2.674,19.05.2025,15:08:11.277
0.140,-1.070,0.510,3.725,-0.585,-2.885,19.05.2025,15:08:11.276
-0.020,-1.016,0.900,3.591,0.092,-3.046,19.05.2025,15:08:11.276
-0.155,-0.911,0.935,3.339,0.619,-3.264,19.05.2025,15:08:11.276
-0.300,-0.824,1.001,3.053,1.072,-3.489,19.05.2025,15:08:11.275
-0.467,-0.718,1.064,2.688,1.539,-3.623,19.05.2025,15:08:11.275
-0.610,-0.624,1.108,2.199,1.931,-3.658,19.05.2025,15:08:11.274
-0.724,-0.499,1.104,1.746,2.287,-3.688,19.05.2025,15:08:11.274
-0.824,-0.379,1.099,1.317,2.683,-3.702,19.05.2025,15:08:11.274
-0.913,-0.256,1.072,0.841,2.935,-3.700,19.05.2025,15:08:11.273
-0.997,-0.117,1.021,0.199,3.080,-3.612,19.05.2025,15:08:11.273
-1.022,0.017,0.916,-0.392,3.349,-3.348,19.05.2025,15:08:11.272
-1.040,0.179,0.793,-0.774,3.628,-3.068,19.05.2025,15:08:11.272
-1.074,0.334,0.681,-1.250,3.734,-2.796,19.05.2025,15:08:11.272
-1.100,0.508,0.551,-1.726,3.774,-2.380,19.05.2025,15:08:11.271
-1.081,0.637,0.569,-2.174,3.790,-1.921,19.05.2025,15:08:11.271
-1.025,0.747,0.253,-2.477,3.812,-1.491,19.05.2025,15:08:11.27
-0.989,0.847,0.129,-2.784,3.814,-1.029,19.05.2025,15:08:11.27
-0.949,0.944,-0.001,-2.951,3.754,-0.472,19.05.2025,15:08:11.27
-0.892,1.002,-0.111,-3.213,3.504,0.128,19.05.2025,15:08:11.269
-0.786,1.031,-0.239,-3.465,3.232,0.581,19.05.2025,15:08:11.269
-0.706,1.091,-0.372,-3.668,2.948,1.007,19.05.2025,15:08:11.268
-0.622,1.132,-0.496,-3.691,2.532,1.474,19.05.2025,15:08:11.268
-0.516,1.145,-0.606,-3.726,2.057,1.878,19.05.2025,15:08:11.268
-0.402,1.108,-0.689,-3.752,1.638,2.211,19.05.2025,15:08:11.267
-0.279,1.076,-0.775,-3.761,1.018,2.611,19.05.2025,15:08:11.267
-0.341,0.982,-0.844,-3.753,0.627,2.818,19.05.2025,15:08:11.266
0.262,0.980,-0.920,-3.621,-0.048,2.988,19.05.2025,15:08:11.266
0.088,0.883,-0.957,-3.364,-0.579,3.205,19.05.2025,15:08:11.266
0.245,0.780,-1.017,-3.073,-0.940,3.420,19.05.2025,15:08:11.265
0.395,0.692,-1.050,-2.701,-1.494,3.514,19.05.2025,15:08:11.265
